Transaction ID,Date,Product Name,Category,Quantity Sold,Price,Customer Age,Customer Gender,Location,Season
T0001,2024-04-08,Coffee,Beverages,4,7.63,42,Female,"Houston, TX",Spring
T0002,2024-09-13,Soda,Beverages,2,1.36,39,Male,"Chicago, IL",Fall
T0003,2024-09-07,Coffee,Beverages,10,18.77,38,Male,"Chicago, IL",Fall
T0004,2024-07-03,Orange Juice,Beverages,7,3.12,44,Male,"Philadelphia, PA",Summer
T0005,2024-08-04,Chicken Breast,Meat,7,5.37,31,Male,"New York, NY",Summer
T0006,2024-10-10,Chicken Breast,Meat,8,19.17,57,Male,"Philadelphia, PA",Fall
T0007,2024-03-21,Yogurt,Dairy,9,2.54,67,Female,"San Jose, CA",Spring
T0008,2024-09-17,Frozen Pizza,Frozen,10,16.61,29,Male,"Phoenix, AZ",Fall
T0009,2024-09-21,Chicken Breast,Meat,6,16.08,70,Male,"San Jose, CA",Fall
T0010,2024-01-13,Chicken Breast,Meat,7,15.65,65,Female,"Chicago, IL",Winter
T0011,2024-12-10,Apples,Produce,2,10.0,51,Male,"San Diego, CA",Winter
T0012,2024-11-14,Orange Juice,Beverages,10,9.25,30,Male,"New York, NY",Fall
T0013,2024-08-23,Ice Cream,Frozen,8,11.25,43,Male,"Houston, TX",Summer
T0014,2024-01-04,Pork Chops,Meat,10,1.38,60,Male,"Chicago, IL",Winter
T0015,2024-02-20,Frozen Pizza,Frozen,5,19.74,57,Female,"New York, NY",Winter
T0016,2024-02-18,Bananas,Produce,8,6.36,27,Male,"San Jose, CA",Winter
T0017,2024-02-16,Bananas,Produce,1,11.93,41,Male,"San Diego, CA",Winter
T0018,2024-07-03,Carrots,Produce,8,17.5,53,Male,"Dallas, TX",Summer
T0019,2024-10-27,Pork Chops,Meat,10,19.46,49,Female,"Houston, TX",Fall
T0020,2024-06-25,Ice Cream,Frozen,8,19.14,55,Male,"New York, NY",Summer
T0021,2024-07-15,Ground Beef,Meat,6,5.51,31,Male,"San Antonio, TX",Summer
T0022,2024-04-04,Whole Milk,Dairy,7,8.17,66,Female,"Los Angeles, CA",Spring
T0023,2024-11-04,Ground Beef,Meat,2,17.47,68,Male,"San Jose, CA",Fall
T0024,2024-04-11,Frozen Peas,Frozen,4,3.99,33,Female,"San Jose, CA",Spring
T0025,2024-05-06,Coffee,Beverages,8,0.93,20,Male,"San Antonio, TX",Spring
T0026,2024-07-04,Croissant,Bakery,1,10.54,30,Male,"New York, NY",Summer
T0027,2024-07-04,Orange Juice,Beverages,3,11.47,61,Female,"Philadelphia, PA",Summer
T0028,2024-03-04,Frozen Peas,Frozen,9,11.47,41,Male,"Philadelphia, PA",Spring
T0029,2024-10-23,Croissant,Bakery,9,13.95,37,Male,"Houston, TX",Fall
T0030,2024-09-01,Coffee,Beverages,4,8.08,46,Male,"Houston, TX",Fall
T0031,2024-03-15,Chicken Breast,Meat,1,17.49,49,Female,"San Diego, CA",Spring
T0032,2024-07-01,Apples,Produce,4,7.58,62,Female,"San Antonio, TX",Summer
T0033,2024-10-11,Frozen Pizza,Frozen,9,14.38,20,Male,"Philadelphia, PA",Fall
T0034,2024-07-02,Soda,Beverages,4,17.27,36,Male,"Houston, TX",Summer
T0035,2024-08-16,Carrots,Produce,1,4.39,20,Female,"San Antonio, TX",Summer
T0036,2024-05-11,Soda,Beverages,7,1.73,32,Female,"San Jose, CA",Spring
T0037,2024-07-01,Chicken Breast,Meat,5,13.71,48,Male,"San Diego, CA",Summer
T0038,2024-07-07,Apples,Produce,6,2.58,46,Female,"New York, NY",Summer
T0039,2024-05-06,Whole Wheat Bread,Bakery,1,5.56,67,Female,"San Jose, CA",Spring
